,Dataset,Model,Variables,Default/Tune,Encoder,Metric,Value,Time,Iterations,mean_Time
0,churn,HistGradientBoosting,AllVariables,Default,OneHotEncoding,BalancedAccuracy,0.8874685380768776,1.3159816265106201,1,1.3159816265106201
1,churn,HistGradientBoosting,AllVariables,Tune,OneHotEncoding,BalancedAccuracy,0.8890238398841778,95.50823664665222,100,0.9550823664665222
2,churn,HistGradientBoosting,AllVariables,Default,CountEncoding,BalancedAccuracy,0.9046359200511266,0.6058032512664795,1,0.6058032512664795
3,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Default,CountEncoding,BalancedAccuracy,0.9046359200511266,0.650198221206665,1,0.650198221206665
4,churn,HistGradientBoosting,AllVariables,Tune,CountEncoding,BalancedAccuracy,0.8990477373160368,25.01795244216919,300,0.08339317480723063
5,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Tune,CountEncoding,BalancedAccuracy,0.8990477373160368,21.505852937698364,100,0.21505852937698364
6,churn,HistGradientBoosting,AllVariables,Default,OrdinalEncoder,BalancedAccuracy,0.9017555071616575,0.5798184871673584,1,0.5798184871673584
7,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Default,OrdinalEncoder,BalancedAccuracy,0.9114265464424932,0.6227858066558838,1,0.6227858066558838
8,churn,HistGradientBoosting,AllVariables,Tune,OrdinalEncoder,BalancedAccuracy,0.9168920617516909,21.22732901573181,100,0.2122732901573181
9,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Tune,OrdinalEncoder,BalancedAccuracy,0.9032532612876748,20.529820442199707,100,0.20529820442199706
10,churn,HistGradientBoosting,AllVariables,Default,HGB_NativeSupport,BalancedAccuracy,0.8932005900151745,0.6746971607208252,1,0.6746971607208252
11,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Default,HGB_NativeSupport,BalancedAccuracy,0.8989038681128299,0.6633844375610352,1,0.6633844375610352
12,churn,HistGradientBoosting,AllVariables,Tune,HGB_NativeSupport,BalancedAccuracy,0.9047510154136922,22.051368951797485,100,0.22051368951797484
13,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Tune,HGB_NativeSupport,BalancedAccuracy,0.9040165252710042,21.516291618347168,100,0.2151629161834717
14,churn,HistGradientBoosting,AllVariables,Default,TargetEncoder,BalancedAccuracy,0.9057232683448377,0.586390495300293,1,0.586390495300293
15,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Default,TargetEncoder,BalancedAccuracy,0.8989038681128299,0.6000323295593262,1,0.6000323295593262
16,churn,HistGradientBoosting,AllVariables,Tune,TargetEncoder,BalancedAccuracy,0.9029004031366514,21.11894726753235,100,0.21118947267532348
17,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Tune,TargetEncoder,BalancedAccuracy,0.909748577209301,20.743098258972168,100,0.20743098258972167
18,churn,HistGradientBoosting,AllVariables,Default,CatboostNativeSupport,BalancedAccuracy,0.9111887836540356,18.673810482025146,1,18.673810482025146
19,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Default,CatboostNativeSupport,BalancedAccuracy,0.9111887836540356,18.011462926864624,1,18.011462926864624
20,churn,HistGradientBoosting,AllVariables,Tune,CatboostNativeSupport,BalancedAccuracy,0.9205357386244892,147.1146845817566,100,1.4711468458175658
21,churn,HistGradientBoosting,OnlyVariablesWithCard>9,Tune,CatboostNativeSupport,BalancedAccuracy,0.9205357386244892,148.66030144691467,100,1.4866030144691467
